attack_mana_health,attack_mana,mana_health,attack_health,health,attack,mana,strategy,id
3.1915230996690793,2.1060903977995857,2.2225897354971837,2.029279628227285,1.0816943542886175,0.9506413092757027,1.9459101490553132,early,1
1.3862943611198906,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.0,early,2
4.382026634673881,2.995732273553991,2.995732273553991,2.772588722239781,1.3862943611198906,1.3862943611198906,1.6094379124341003,late,3
1.791759469228055,1.791759469228055,1.0986122886681098,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098,early,4
3.323567510560707,2.167215573759062,2.302848264970951,2.152667644071102,1.1416307028327026,1.0089684939338583,1.0986122886681098,late,5
3.1915230996690793,2.1060903977995857,2.2225897354971837,2.029279628227285,1.0816943542886175,0.9506413092757027,1.0986122886681098,early,6
1.6094379124341003,0.0,1.6094379124341003,1.6094379124341003,1.6094379124341003,0.0,0.0,early,7
2.1972245773362196,1.0986122886681098,2.1972245773362196,1.0986122886681098,1.0986122886681098,0.0,1.0986122886681098,early,8
4.1588830833596715,2.772588722239781,2.772588722239781,2.772588722239781,1.3862943611198906,1.3862943611198906,1.3862943611198906,late,9
0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,early,10
2.0794415416798357,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.6931471805599453,early,11
3.1915230996690793,2.1060903977995857,2.2225897354971837,2.029279628227285,1.0816943542886175,0.9506413092757027,0.6931471805599453,early,12
3.1915230996690793,2.1060903977995857,2.2225897354971837,2.029279628227285,1.0816943542886175,0.9506413092757027,2.0794415416798357,late,13
3.323567510560707,2.167215573759062,2.302848264970951,2.152667644071102,1.1416307028327026,1.0089684939338583,0.0,late,14
1.3862943611198906,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,early,15
3.1915230996690793,2.1060903977995857,2.2225897354971837,2.029279628227285,1.0816943542886175,0.9506413092757027,1.0986122886681098,early,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,early,17
3.1915230996690793,2.1060903977995857,2.2225897354971837,2.029279628227285,1.0816943542886175,0.9506413092757027,0.0,early,18
5.529429087511423,3.332204510175204,4.143134726391533,3.58351893845611,2.1972245773362196,1.3862943611198906,1.9459101490553132,late,19
